,INCIDENT_ID,DATA_YEAR,ORI,PUB_AGENCY_NAME,PUB_AGENCY_UNIT,AGENCY_TYPE_NAME,STATE_ABBR,STATE_NAME,DIVISION_NAME,REGION_NAME,POPULATION_GROUP_CODE,POPULATION_GROUP_DESC,INCIDENT_DATE,ADULT_VICTIM_COUNT,JUVENILE_VICTIM_COUNT,TOTAL_OFFENDER_COUNT,ADULT_OFFENDER_COUNT,JUVENILE_OFFENDER_COUNT,OFFENDER_RACE,OFFENDER_ETHNICITY,VICTIM_COUNT,OFFENSE_NAME,TOTAL_INDIVIDUAL_VICTIMS,LOCATION_NAME,BIAS_DESC,VICTIM_TYPES,MULTIPLE_OFFENSE,MULTIPLE_BIAS
468,213,1991,ILCPD0000,Chicago,,City,IL,Illinois,East North Central,Midwest,1A,"Cities 1,000,000 or over",19-FEB-91,,,0,,,Unknown,,1,Intimidation,1.0,Residence/Home,Anti-Hispanic or Latino,Individual,S,S
469,214,1991,ILCPD0000,Chicago,,City,IL,Illinois,East North Central,Midwest,1A,"Cities 1,000,000 or over",22-MAR-91,,,2,,,White,,2,Simple Assault,2.0,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,Individual,S,S
470,215,1991,ILCPD0000,Chicago,,City,IL,Illinois,East North Central,Midwest,1A,"Cities 1,000,000 or over",26-MAR-91,,,2,,,Black or African American,,1,Destruction/Damage/Vandalism of Property,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-White,Individual,S,S
471,216,1991,ILCPD0000,Chicago,,City,IL,Illinois,East North Central,Midwest,1A,"Cities 1,000,000 or over",21-FEB-91,,,1,,,Black or African American,,1,Simple Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Gay (Male),Individual,S,S
472,217,1991,ILCPD0000,Chicago,,City,IL,Illinois,East North Central,Midwest,1A,"Cities 1,000,000 or over",23-MAR-91,,,1,,,Black or African American,,1,Aggravated Assault,1.0,Residence/Home,Anti-Gay (Male),Individual,S,S
473,218,1991,ILCPD0000,Chicago,,City,IL,Illinois,East North Central,Midwest,1A,"Cities 1,000,000 or over",01-JUL-91,,,9,,,Black or African American,,1,Aggravated Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-White,Individual,S,S
474,241,1991,ILCPD0000,Chicago,,City,IL,Illinois,East North Central,Midwest,1A,"Cities 1,000,000 or over",03-JUL-91,,,1,,,White,,1,Aggravated Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,Individual,S,S
475,242,1991,ILCPD0000,Chicago,,City,IL,Illinois,East North Central,Midwest,1A,"Cities 1,000,000 or over",14-JUL-91,,,1,,,White,,2,Aggravated Assault,2.0,Parking/Drop Lot/Garage,Anti-Black or African American,Individual,S,S
476,243,1991,ILCPD0000,Chicago,,City,IL,Illinois,East North Central,Midwest,1A,"Cities 1,000,000 or over",19-JUL-91,,,25,,,White,,6,Aggravated Assault,6.0,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,Individual,S,S
477,244,1991,ILCPD0000,Chicago,,City,IL,Illinois,East North Central,Midwest,1A,"Cities 1,000,000 or over",11-JUL-91,,,8,,,Black or African American,,1,Simple Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-White,Individual,S,S
478,245,1991,ILCPD0000,Chicago,,City,IL,Illinois,East North Central,Midwest,1A,"Cities 1,000,000 or over",23-JUL-91,,,0,,,Unknown,,1,Destruction/Damage/Vandalism of Property,1.0,Residence/Home,Anti-Other Race/Ethnicity/Ancestry,Individual,S,S
479,246,1991,ILCPD0000,Chicago,,City,IL,Illinois,East North Central,Midwest,1A,"Cities 1,000,000 or over",25-JUL-91,,,0,,,Unknown,,1,Destruction/Damage/Vandalism of Property,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,Individual,S,S
480,247,1991,ILCPD0000,Chicago,,City,IL,Illinois,East North Central,Midwest,1A,"Cities 1,000,000 or over",28-JUL-91,,,1,,,White,,1,Aggravated Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,Individual,S,S
481,248,1991,ILCPD0000,Chicago,,City,IL,Illinois,East North Central,Midwest,1A,"Cities 1,000,000 or over",04-AUG-91,,,4,,,White,,1,Aggravated Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Hispanic or Latino,Individual,S,S
482,249,1991,ILCPD0000,Chicago,,City,IL,Illinois,East North Central,Midwest,1A,"Cities 1,000,000 or over",15-AUG-91,,,0,,,Unknown,,1,Destruction/Damage/Vandalism of Property,0.0,Church/Synagogue/Temple/Mosque,Anti-Jewish,Religious Organization,S,S
483,250,1991,ILCPD0000,Chicago,,City,IL,Illinois,East North Central,Midwest,1A,"Cities 1,000,000 or over",18-AUG-91,,,0,,,Unknown,,1,Intimidation,1.0,Residence/Home,Anti-White,Individual,S,S
484,251,1991,ILCPD0000,Chicago,,City,IL,Illinois,East North Central,Midwest,1A,"Cities 1,000,000 or over",17-AUG-91,,,0,,,Unknown,,1,Intimidation,1.0,Bank/Savings and Loan,Anti-Hispanic or Latino,Individual,S,S
485,252,1991,ILCPD0000,Chicago,,City,IL,Illinois,East North Central,Midwest,1A,"Cities 1,000,000 or over",21-AUG-91,,,0,,,Unknown,,1,Arson,1.0,Commercial/Office Building,Anti-White,Individual,S,S
486,253,1991,ILCPD0000,Chicago,,City,IL,Illinois,East North Central,Midwest,1A,"Cities 1,000,000 or over",28-AUG-91,,,0,,,Unknown,,1,Intimidation,1.0,Bar/Nightclub,Anti-White,Individual,S,S
487,254,1991,ILCPD0000,Chicago,,City,IL,Illinois,East North Central,Midwest,1A,"Cities 1,000,000 or over",30-AUG-91,,,40,,,White,,1,Aggravated Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Arab,Individual,S,S
488,255,1991,ILCPD0000,Chicago,,City,IL,Illinois,East North Central,Midwest,1A,"Cities 1,000,000 or over",07-SEP-91,,,6,,,Black or African American,,1,Aggravated Assault,1.0,Bar/Nightclub,Anti-White,Individual,S,S
489,256,1991,ILCPD0000,Chicago,,City,IL,Illinois,East North Central,Midwest,1A,"Cities 1,000,000 or over",15-APR-91,,,3,,,Black or African American,,1,Simple Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-White,Individual,S,S
490,257,1991,ILCPD0000,Chicago,,City,IL,Illinois,East North Central,Midwest,1A,"Cities 1,000,000 or over",12-APR-91,,,1,,,Unknown,,1,Simple Assault,1.0,School/College,Anti-Black or African American,Individual,S,S
491,278,1991,ILCPD0000,Chicago,,City,IL,Illinois,East North Central,Midwest,1A,"Cities 1,000,000 or over",11-JAN-91,,,3,,,Black or African American,,1,Simple Assault,1.0,Residence/Home,Anti-White,Individual,S,S
492,279,1991,ILCPD0000,Chicago,,City,IL,Illinois,East North Central,Midwest,1A,"Cities 1,000,000 or over",17-JAN-91,,,0,,,Unknown,,1,Intimidation,1.0,Convenience Store,Anti-Arab,Individual,S,S
493,280,1991,ILCPD0000,Chicago,,City,IL,Illinois,East North Central,Midwest,1A,"Cities 1,000,000 or over",16-JAN-91,,,0,,,Unknown,,1,Intimidation,1.0,Restaurant,Anti-Arab,Individual,S,S
494,281,1991,ILCPD0000,Chicago,,City,IL,Illinois,East North Central,Midwest,1A,"Cities 1,000,000 or over",29-JAN-91,,,0,,,Unknown,,1,Destruction/Damage/Vandalism of Property,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-American Indian or Alaska Native,Individual,S,S
495,282,1991,ILCPD0000,Chicago,,City,IL,Illinois,East North Central,Midwest,1A,"Cities 1,000,000 or over",30-JAN-91,,,0,,,Unknown,,1,Intimidation,1.0,Residence/Home,Anti-White,Individual,S,S
496,283,1991,ILCPD0000,Chicago,,City,IL,Illinois,East North Central,Midwest,1A,"Cities 1,000,000 or over",02-FEB-91,,,2,,,White,,2,Aggravated Assault,2.0,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,Individual,S,S
497,284,1991,ILCPD0000,Chicago,,City,IL,Illinois,East North Central,Midwest,1A,"Cities 1,000,000 or over",02-FEB-91,,,10,,,Black or African American,,1,Aggravated Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-White,Individual,S,S
498,285,1991,ILCPD0000,Chicago,,City,IL,Illinois,East North Central,Midwest,1A,"Cities 1,000,000 or over",09-FEB-91,,,5,,,White,,2,Aggravated Assault,2.0,Highway/Road/Alley/Street/Sidewalk,Anti-Arab,Individual,S,S
499,286,1991,ILCPD0000,Chicago,,City,IL,Illinois,East North Central,Midwest,1A,"Cities 1,000,000 or over",09-FEB-91,,,5,,,Black or African American,,1,Simple Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-White,Individual,S,S
500,287,1991,ILCPD0000,Chicago,,City,IL,Illinois,East North Central,Midwest,1A,"Cities 1,000,000 or over",23-FEB-91,,,1,,,Unknown,,1,Intimidation,1.0,Residence/Home,Anti-Jewish,Individual,S,S
501,288,1991,ILCPD0000,Chicago,,City,IL,Illinois,East North Central,Midwest,1A,"Cities 1,000,000 or over",01-MAR-91,,,5,,,Black or African American,,3,Robbery,3.0,Highway/Road/Alley/Street/Sidewalk,Anti-White,Individual,S,S
502,289,1991,ILCPD0000,Chicago,,City,IL,Illinois,East North Central,Midwest,1A,"Cities 1,000,000 or over",21-MAR-91,,,1,,,Black or African American,,1,Simple Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-White,Individual,S,S
503,290,1991,ILCPD0000,Chicago,,City,IL,Illinois,East North Central,Midwest,1A,"Cities 1,000,000 or over",30-MAR-91,,,4,,,White,,1,Simple Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,Individual,S,S
504,291,1991,ILCPD0000,Chicago,,City,IL,Illinois,East North Central,Midwest,1A,"Cities 1,000,000 or over",15-MAR-91,,,0,,,Unknown,,1,Destruction/Damage/Vandalism of Property,1.0,Residence/Home,Anti-Jewish,Individual,S,S
505,292,1991,ILCPD0000,Chicago,,City,IL,Illinois,East North Central,Midwest,1A,"Cities 1,000,000 or over",07-JUL-91,,,1,,,White,,2,Aggravated Assault,2.0,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,Individual,S,S
506,293,1991,ILCPD0000,Chicago,,City,IL,Illinois,East North Central,Midwest,1A,"Cities 1,000,000 or over",15-JUL-91,,,6,,,White,,1,Simple Assault,1.0,Parking/Drop Lot/Garage,Anti-Black or African American,Individual,S,S
507,294,1991,ILCPD0000,Chicago,,City,IL,Illinois,East North Central,Midwest,1A,"Cities 1,000,000 or over",23-JUL-91,,,4,,,Black or African American,,1,Not Specified,1.0,Restaurant,Anti-White,Individual,S,S
508,295,1991,ILCPD0000,Chicago,,City,IL,Illinois,East North Central,Midwest,1A,"Cities 1,000,000 or over",21-JUL-91,,,0,,,Unknown,,1,Arson,1.0,Residence/Home,Anti-White,Individual,S,S
509,296,1991,ILCPD0000,Chicago,,City,IL,Illinois,East North Central,Midwest,1A,"Cities 1,000,000 or over",28-JUL-91,,,4,,,Black or African American,,1,Aggravated Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-White,Individual,S,S
510,297,1991,ILCPD0000,Chicago,,City,IL,Illinois,East North Central,Midwest,1A,"Cities 1,000,000 or over",15-AUG-91,,,3,,,White,,1,Aggravated Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,Individual,S,S
511,298,1991,ILCPD0000,Chicago,,City,IL,Illinois,East North Central,Midwest,1A,"Cities 1,000,000 or over",11-AUG-91,,,2,,,White,,2,Aggravated Assault,2.0,Highway/Road/Alley/Street/Sidewalk,Anti-Gay (Male),Individual,S,S
512,299,1991,ILCPD0000,Chicago,,City,IL,Illinois,East North Central,Midwest,1A,"Cities 1,000,000 or over",16-AUG-91,,,0,,,Unknown,,1,Destruction/Damage/Vandalism of Property,1.0,Parking/Drop Lot/Garage,Anti-Black or African American,Individual,S,S
513,300,1991,ILCPD0000,Chicago,,City,IL,Illinois,East North Central,Midwest,1A,"Cities 1,000,000 or over",23-AUG-91,,,3,,,Black or African American,,1,Aggravated Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Gay (Male),Individual,S,S
514,301,1991,ILCPD0000,Chicago,,City,IL,Illinois,East North Central,Midwest,1A,"Cities 1,000,000 or over",07-SEP-91,,,1,,,White,,1,Simple Assault,1.0,Residence/Home,Anti-Arab,Individual,S,S
515,302,1991,ILCPD0000,Chicago,,City,IL,Illinois,East North Central,Midwest,1A,"Cities 1,000,000 or over",08-SEP-91,,,4,,,White,,1,Aggravated Assault,1.0,Bar/Nightclub,Anti-Gay (Male),Individual,S,S
516,303,1991,ILCPD0000,Chicago,,City,IL,Illinois,East North Central,Midwest,1A,"Cities 1,000,000 or over",09-SEP-91,,,0,,,Unknown,,1,Simple Assault,1.0,Residence/Home,Anti-White,Individual,S,S
517,304,1991,ILCPD0000,Chicago,,City,IL,Illinois,East North Central,Midwest,1A,"Cities 1,000,000 or over",10-SEP-91,,,2,,,White,,1,Simple Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Gay (Male),Individual,S,S
518,305,1991,ILCPD0000,Chicago,,City,IL,Illinois,East North Central,Midwest,1A,"Cities 1,000,000 or over",11-SEP-91,,,1,,,White,,1,Aggravated Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,Individual,S,S
519,306,1991,ILCPD0000,Chicago,,City,IL,Illinois,East North Central,Midwest,1A,"Cities 1,000,000 or over",17-SEP-91,,,0,,,Unknown,,1,Destruction/Damage/Vandalism of Property,1.0,Residence/Home,Anti-White,Individual,S,S
520,307,1991,ILCPD0000,Chicago,,City,IL,Illinois,East North Central,Midwest,1A,"Cities 1,000,000 or over",17-SEP-91,,,1,,,White,,1,Simple Assault,1.0,Bar/Nightclub,Anti-Black or African American,Individual,S,S
521,308,1991,ILCPD0000,Chicago,,City,IL,Illinois,East North Central,Midwest,1A,"Cities 1,000,000 or over",18-SEP-91,,,1,,,Unknown,,1,Simple Assault,1.0,Parking/Drop Lot/Garage,Anti-Gay (Male),Individual,S,S
522,309,1991,ILCPD0000,Chicago,,City,IL,Illinois,East North Central,Midwest,1A,"Cities 1,000,000 or over",17-SEP-91,,,0,,,Unknown,,1,Destruction/Damage/Vandalism of Property,1.0,Residence/Home,Anti-Black or African American,Individual,S,S
523,310,1991,ILCPD0000,Chicago,,City,IL,Illinois,East North Central,Midwest,1A,"Cities 1,000,000 or over",18-SEP-91,,,0,,,Unknown,,1,Destruction/Damage/Vandalism of Property,1.0,Parking/Drop Lot/Garage,Anti-Other Race/Ethnicity/Ancestry,Individual,S,S
524,311,1991,ILCPD0000,Chicago,,City,IL,Illinois,East North Central,Midwest,1A,"Cities 1,000,000 or over",21-SEP-91,,,0,,,Unknown,,1,Destruction/Damage/Vandalism of Property,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Arab,Individual,S,S
525,312,1991,ILCPD0000,Chicago,,City,IL,Illinois,East North Central,Midwest,1A,"Cities 1,000,000 or over",25-SEP-91,,,0,,,Unknown,,1,Arson,1.0,Specialty Store,Anti-White,Individual,S,S
526,313,1991,ILCPD0000,Chicago,,City,IL,Illinois,East North Central,Midwest,1A,"Cities 1,000,000 or over",29-SEP-91,,,0,,,Unknown,,1,Burglary/Breaking & Entering,1.0,Specialty Store,Anti-White,Individual,S,S
527,314,1991,ILCPD0000,Chicago,,City,IL,Illinois,East North Central,Midwest,1A,"Cities 1,000,000 or over",29-SEP-91,,,0,,,Unknown,,1,Destruction/Damage/Vandalism of Property,1.0,Bar/Nightclub,Anti-Gay (Male),Individual,S,S
528,315,1991,ILCPD0000,Chicago,,City,IL,Illinois,East North Central,Midwest,1A,"Cities 1,000,000 or over",02-APR-91,,,4,,,Black or African American,,1,Simple Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-White,Individual,S,S
529,316,1991,ILCPD0000,Chicago,,City,IL,Illinois,East North Central,Midwest,1A,"Cities 1,000,000 or over",09-APR-91,,,1,,,Black or African American,,1,Simple Assault,1.0,Restaurant,Anti-White,Individual,S,S
530,317,1991,ILCPD0000,Chicago,,City,IL,Illinois,East North Central,Midwest,1A,"Cities 1,000,000 or over",11-APR-91,,,2,,,Black or African American,,1,Simple Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-White,Individual,S,S
531,318,1991,ILCPD0000,Chicago,,City,IL,Illinois,East North Central,Midwest,1A,"Cities 1,000,000 or over",11-APR-91,,,0,,,Unknown,,1,Intimidation,1.0,Restaurant,Anti-Black or African American,Individual,S,S
532,319,1991,ILCPD0000,Chicago,,City,IL,Illinois,East North Central,Midwest,1A,"Cities 1,000,000 or over",17-APR-91,,,1,,,White,,1,Simple Assault,1.0,School/College,Anti-Black or African American,Individual,S,S
533,320,1991,ILCPD0000,Chicago,,City,IL,Illinois,East North Central,Midwest,1A,"Cities 1,000,000 or over",19-APR-91,,,1,,,Black or African American,,1,Simple Assault,1.0,Residence/Home,Anti-White,Individual,S,S
534,321,1991,ILCPD0000,Chicago,,City,IL,Illinois,East North Central,Midwest,1A,"Cities 1,000,000 or over",28-APR-91,,,2,,,Black or African American,,2,Simple Assault,2.0,Highway/Road/Alley/Street/Sidewalk,Anti-White,Individual,S,S
535,322,1991,ILCPD0000,Chicago,,City,IL,Illinois,East North Central,Midwest,1A,"Cities 1,000,000 or over",02-MAY-91,,,1,,,Black or African American,,1,Simple Assault,1.0,Field/Woods,Anti-White,Individual,S,S
536,323,1991,ILCPD0000,Chicago,,City,IL,Illinois,East North Central,Midwest,1A,"Cities 1,000,000 or over",27-APR-91,,,4,,,Unknown,,1,Simple Assault,1.0,Residence/Home,Anti-White,Individual,S,S
537,324,1991,ILCPD0000,Chicago,,City,IL,Illinois,East North Central,Midwest,1A,"Cities 1,000,000 or over",07-MAY-91,,,4,,,Black or African American,,1,Simple Assault,1.0,Air/Bus/Train Terminal,Anti-White,Individual,S,S
538,325,1991,ILCPD0000,Chicago,,City,IL,Illinois,East North Central,Midwest,1A,"Cities 1,000,000 or over",12-MAY-91,,,1,,,White,,1,Simple Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Gay (Male),Individual,S,S
539,326,1991,ILCPD0000,Chicago,,City,IL,Illinois,East North Central,Midwest,1A,"Cities 1,000,000 or over",16-MAY-91,,,2,,,White,,1,Simple Assault,1.0,Liquor Store,Anti-Black or African American,Individual,S,S
540,327,1991,ILCPD0000,Chicago,,City,IL,Illinois,East North Central,Midwest,1A,"Cities 1,000,000 or over",20-MAY-91,,,2,,,White,,1,Aggravated Assault,1.0,Residence/Home,Anti-Hispanic or Latino,Individual,S,S
541,328,1991,ILCPD0000,Chicago,,City,IL,Illinois,East North Central,Midwest,1A,"Cities 1,000,000 or over",16-MAY-91,,,4,,,White,,1,Simple Assault,1.0,Parking/Drop Lot/Garage,Anti-Gay (Male),Individual,S,S
542,329,1991,ILCPD0000,Chicago,,City,IL,Illinois,East North Central,Midwest,1A,"Cities 1,000,000 or over",02-JUN-91,,,2,,,Black or African American,,2,Aggravated Assault,2.0,Highway/Road/Alley/Street/Sidewalk,"Anti-Multiple Races, Group",Individual,S,S
543,330,1991,ILCPD0000,Chicago,,City,IL,Illinois,East North Central,Midwest,1A,"Cities 1,000,000 or over",12-MAY-91,,,0,,,Unknown,,1,Destruction/Damage/Vandalism of Property,0.0,Church/Synagogue/Temple/Mosque,Anti-Jewish,Religious Organization,S,S
544,331,1991,ILCPD0000,Chicago,,City,IL,Illinois,East North Central,Midwest,1A,"Cities 1,000,000 or over",06-JUN-91,,,6,,,Black or African American,,1,Simple Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-White,Individual,S,S
545,332,1991,ILCPD0000,Chicago,,City,IL,Illinois,East North Central,Midwest,1A,"Cities 1,000,000 or over",16-JUN-91,,,0,,,Unknown,,1,Intimidation,1.0,Commercial/Office Building,Anti-White,Individual,S,S
546,333,1991,ILCPD0000,Chicago,,City,IL,Illinois,East North Central,Midwest,1A,"Cities 1,000,000 or over",21-JUN-91,,,0,,,Unknown,,1,Not Specified,0.0,Highway/Road/Alley/Street/Sidewalk,Anti-White,Business,S,S
547,334,1991,ILCPD0000,Chicago,,City,IL,Illinois,East North Central,Midwest,1A,"Cities 1,000,000 or over",25-JUN-91,,,1,,,White,,1,Destruction/Damage/Vandalism of Property,1.0,Parking/Drop Lot/Garage,Anti-Gay (Male),Individual,S,S
548,335,1991,ILCPD0000,Chicago,,City,IL,Illinois,East North Central,Midwest,1A,"Cities 1,000,000 or over",24-JUN-91,,,0,,,Unknown,,1,Arson,0.0,Liquor Store,"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",Business,S,S
